epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.324,1.09462,4.07018,1.25178,0.02264,0.84602,0.18258,0.1354,0.73083,37.8819,0.87534,0.0001428,0.0001428,0.0001428
2,215.435,1.0332,2.96972,1.18287,0.9552,0.04226,0.25573,0.19569,0.76758,36.621,0.89584,0.000284934,0.000284934,0.000284934
3,320.664,1.04922,2.35075,1.20289,0.77568,0.16311,0.46605,0.33981,0.80126,35.1162,0.94036,0.00041907,0.00041907,0.00041907
4,424.872,1.03341,2.12232,1.17266,0.73148,0.27026,0.5872,0.39238,0.8172,32.495,0.94803,0.00054521,0.00054521,0.00054521
5,528.335,1.01316,2.02767,1.15883,0.73703,0.31052,0.53814,0.38059,0.95609,31.3328,1.09876,0.00063784,0.00063784,0.00063784
6,631.548,1.03047,1.88147,1.15438,0.66479,0.49898,0.66922,0.49263,0.80501,30.5426,1.01462,0.0006188,0.0006188,0.0006188
7,734.552,0.97088,1.68538,1.11306,0.6613,0.593,0.68544,0.48676,0.87053,26.863,1.02135,0.00059976,0.00059976,0.00059976
8,837.117,0.96949,1.5687,1.14312,0.60571,0.74767,0.78181,0.58912,0.76136,25.4966,0.94661,0.00058072,0.00058072,0.00058072
9,939.94,0.94915,1.51294,1.13031,0.84874,0.83234,0.91437,0.68145,0.7839,23.1062,0.95066,0.00056168,0.00056168,0.00056168
10,1042.55,0.87669,1.39717,1.08308,0.75234,0.72204,0.81112,0.59244,0.88253,26.9539,1.04604,0.00054264,0.00054264,0.00054264
11,1145.35,0.91326,1.3478,1.11189,0.91098,0.86184,0.93993,0.74182,0.70152,20.6357,0.91913,0.0005236,0.0005236,0.0005236
12,1248.36,0.85794,1.17063,1.07035,0.89432,0.90889,0.95604,0.76519,0.67791,19.4591,0.89966,0.00050456,0.00050456,0.00050456
13,1350.85,0.85653,1.16135,1.06754,0.88732,0.83824,0.91577,0.73156,0.65358,17.1082,0.87846,0.00048552,0.00048552,0.00048552
14,1453.25,0.85375,1.10544,1.06019,0.8701,0.90594,0.96199,0.77597,0.62043,16.0315,0.86708,0.00046648,0.00046648,0.00046648
15,1556.05,0.81648,1.03426,1.06106,0.92447,0.90683,0.96046,0.78652,0.58459,14.9976,0.83472,0.00044744,0.00044744,0.00044744
16,1658.47,0.8155,0.99921,1.04414,0.94336,0.92777,0.97054,0.78495,0.60571,13.9514,0.85017,0.0004284,0.0004284,0.0004284
17,1761.1,0.82629,0.9986,1.06006,0.93782,0.93224,0.96847,0.80096,0.62815,12.5288,0.87813,0.00040936,0.00040936,0.00040936
18,1863.7,0.7931,0.966,1.02981,0.89019,0.86923,0.93256,0.74825,0.60755,12.6111,0.85457,0.00039032,0.00039032,0.00039032
19,1966.21,0.78417,0.90836,1.02709,0.944,0.95258,0.97704,0.7946,0.58589,11.3185,0.83481,0.00037128,0.00037128,0.00037128
20,2068.41,0.8104,0.89619,1.04852,0.95049,0.93748,0.9767,0.80369,0.58395,10.4413,0.84154,0.00035224,0.00035224,0.00035224
21,2169.67,0.72961,1.01462,0.99459,0.92967,0.92546,0.95646,0.79015,0.57199,13.8199,0.84285,0.0003332,0.0003332,0.0003332
22,2272.04,0.69292,0.92842,0.98942,0.95428,0.95391,0.97761,0.81652,0.55273,10.3638,0.81882,0.00031416,0.00031416,0.00031416
23,2373.02,0.65908,0.86349,0.94947,0.9617,0.96746,0.97761,0.82673,0.5279,8.58566,0.81488,0.00029512,0.00029512,0.00029512
24,2475.62,0.66018,0.80366,0.96049,0.98147,0.95784,0.98029,0.82452,0.52556,8.60346,0.80781,0.00027608,0.00027608,0.00027608
25,2578.84,0.66798,0.80225,0.97185,0.96279,0.94448,0.97854,0.82798,0.51995,7.98934,0.81,0.00025704,0.00025704,0.00025704
26,2684.7,0.63884,0.76326,0.96001,0.96361,0.95126,0.98234,0.83607,0.51041,8.22848,0.80405,0.000238,0.000238,0.000238
27,2793.77,0.64831,0.74788,0.95048,0.97344,0.9732,0.98583,0.84547,0.52904,7.9546,0.81171,0.00021896,0.00021896,0.00021896
28,2906.21,0.62862,0.71519,0.94889,0.98281,0.96078,0.98492,0.85416,0.47363,7.5449,0.78583,0.00019992,0.00019992,0.00019992
29,3017.59,0.62744,0.69598,0.95929,0.98812,0.96094,0.98621,0.87213,0.46006,7.69159,0.77993,0.00018088,0.00018088,0.00018088
30,3129.8,0.57986,0.65366,0.91485,0.97439,0.9788,0.98609,0.8681,0.45792,7.00631,0.77401,0.00016184,0.00016184,0.00016184
